french,nature,eton
à,prép.,á
à l’improviste,adv.,mpám
abachi,n.,à-jòz
abaisser,v.,sùzà
abandonné (être_),v.,pùdbà
abandonner,v.,líg
abattre,v.,kpə̀
abattre,v.,mànà
abattre,v.,wéy
abattre (sp),v.,sìl
abattu (être_),v.,kùlbà
abcès,n.,d-wǎd
abcès,n.,ì-kɛ̀l
abcès,n.,ì-pə́pâmà
abcès,n.,m̀-mǎŋ
abcès,n.,ù-bíz
abeille,n.,mbúmbûŋ
abeilles (sp),n.,mbúmbûŋ
Abelmoschus esculentus,n.,ì-nə̀m ɛ́vùl
Abelmoschus esculentus,n.,ì-tə́tám
Abelmoschus esculentus,n.,pɛ̌z
abîmer,v.,ndámnà
abondant (être_),v.,pò
abondant (être_),v.,púgzâ
abondant (être_),v rés.,bə́gə̂
aboucher,v.,kòm
aboyer,v.,bón
absent (être_),v.,jə́mnì
absent (être_),v.,jə́ŋbân
abstenir (s’_ ),v.,cì
abura,n.,ì-lə̀lɔ̀m
Acanthus montanus,n.,ɛ̀-ndó
acariâtre,n.,à-lɛ̀d ńnó
acariâtre,n adj.,bì-ŋgád
accaparer,v.,hàdbà
accaparer,v.,nàdbà
accepter,v.,jə́blə̂
accepter,v.,mə̀m
accompagnement (musique),n.,ù-mbə́g
accord,n.,cíŋ
accord,n.,m-ágnì
accord,n.,ù-jílá
accord (conclure ),v.,jílâ
accorder (s’_ avec),v.,èè
accouché,n.,ɲ̀-ɲə́ꜜɲá
accouchements rapprochés,n.,d-ǒz
accoucher,v.,wɔ́
accouder (s’_ ),v.,yə́gbə́
accouplement,n.,m̀-pə́b
accoupler (s’_-),v.,jàm
accoupler (s’_ ),v.,jàmnì
accroché (être_),v rés.,bə̀mə́
accrochant,n.,kɔ́ŋgwáz
accrocher,v.,hámzân
accrocher,v.,kɛ̀lì
accrocher,v.,pànì
accrocher (s’_ ),v.,bə̀mbə̀
accrocher (s’_ ),v.,hámzân
accrocher (s’_ ),v.,kɛ̀lbə̀
accrocher (s’_ pour se battre),v.,pùlnà
accroupir (s’_ ),v.,sónbô
accueillir,v.,g͡bɛ̀ɛ̀nì
accueillir (sp),v.,sòzbò
accumuler (sp),v.,kwàd
accuser (sp),v.,bád
accuser (sp),v.,bó èè
acerbe,n adj.,bì-ŋgád
achat,n.,ŋ̀-kùz
acheter,v.,kùz
achever,v.,jílâ
achever,v.,mànà
achiote,n.,lélê ǹtáŋní
acide,n adj.,ì-kpáꜜsáŋ
acide,n adj.,ì-sə̀sâŋà
acide (être_),v.,ŋmám
acide (être_),v.,sàŋ
acidité,n.,à-sǎŋ
Acinonyx jubatus,n.,zěy
acquiesser,v.,kàmzànà
acte (sp),n.,ì-táz
actif,n adj.,ŋ̀-káŋá
action de trouver,n.,ù-sɔ̀mì
actuel,n.,à-lú
actuellement,n.,à-lú
adapter (s’_ à),v.,jə̀mzàn èè
adjoint du chef,n.,ì-hɛ́dmàn
admettre,v.,jə́blə̂
administrer (sp),v.,lɔ̀
administrer (sp),v.,lɔ̀bàn
administrer un lavement,v.,wàdnɔ̀
admiration,n.,mə̀-kómgó
admirer,v.,kómô
admonestations,n.,bì-jò
adolescent,n.,ndómní
adolescente (sp),n.,ndɛ̀dgí
adopter,v.,ɲɔ̀ŋ
adosser,v.,yə́g
adosser (s’_ ),v.,sɛ́nî
adulation,n.,mbòl
adulte,n.,à-mòd
aïeul,n.,m̀-mònì
afaiblissement,n.,cə̀g
affaiblir,v.,cə̀g
affaiblir (s’_ ),v.,tə̀g
affaire,n.,ɛ̀-vɔ́
affaires,n.,lǒm
affirmer,v.,tɔ́ŋ
affirmer,v.,vɔ́
affronter,v.,bàdnì
affronter (s’_ avec quelqu’un),v.,bàl
affûter,v.,jə̀b
Aframomum melegueta,n.,ndóŋ
"africain, noir",n.,ì-vínî
agacement (dents),n.,nìgíz
agacer,v.,ndə́glə̂
agacer,v.,pɔ́ŋzɔ̂
Ageratum conyzoides,n.,ìlwág
aggraver,v.,túlî
aggraver (s’_ ),v.,bɛ̂lnì
aggraver (s’_ ),v.,mɛ́ngân
agile,n adj.,ǹ-tàndàŋ
agir,v.,kɔ̀m
agitation,n.,ì-cə̀còm
agiter,v.,pógó
agiter (s’_ ),v.,lə́gnì
agiter (s’_ ),v.,pùblàn
agiter (s’_ ),v.,vɛ̀znì
agiter (s’_ ),v.,vùŋ
agonie,n.,mə̀-dúgí
agoniser,v.,bímî
agoniser,v.,dúg
agréable,v.,yɛ́nî
agréable (être_),v.,ɲə̀b
agrandir,v.,nɛ́nə̂
agressif,n adj.,ɲ̀-ɲə́ɲɔ́g
agressif (être_),v.,hàm
agressif (être_),v.,jɔ́gbɔ̂
agrume,n.,òpùmá
aguerrir,v.,kə́ŋlə̂
aguicher,v.,kàz èè
ahan,n.,ɛ̀-ndə́ŋ
aide,n.,ì-kà
aider,v.,kà
aider,v.,vwálî
aiele,n.,à-bɛ́l
aigre,n adj.,ì-sə̀sâŋà
aigre (être_),v.,sàŋ
aigu (être_),v.,vól
aiguille,n.,ùndùndɔ̀
aiguillon,n.,ḿbómbôŋ
aiguisé (non-),n adj.,m̀-pím
aiguiser,v.,jə̀b
ail,n.,lây
aile,n.,ɛ̀-pǎb
aile,n.,ì-pə́ꜜpáb
aile (sp),n.,m̀-pùbnì
ailes (sans_),n.,ǹ-nə́ŋ
aimer,v.,dìŋ
aimer,v.,wóg
aimer faire l’amour,v.,jáànì
aimer (s’_ ),v.,dìŋnì
aimer (s’_ ),v.,dìŋnì èè
ainsi,adv.,na̋
air,n.,ì-vúŋlâ
aisance,n.,mbá
aisselle,n.,mbàkán
ajouter,v.,bág
ajouter,v.,kòglò
ajouter (s’_ ),v.,bágnì
ajuster,v.,kòm
ako,n.,áꜜlɔ́gɔ́
albinos,n.,ǹ-nàŋ
alcarazas,n.,kúlwàdá
alcool (sp),n.,bì-lám
alcool (sp),n.,hàà
alcoolisé (boisson ),n.,mə̀-jɔ̀g
alentours,n.,ɛ̀-vɛ̀l
aligner,v.,tɛ́lî
alité,n.,ǹ-tɛ́d
allaiter,v.,ɲáŋâ
Allemagne,n.,njâmnì
Allemand,n.,njâmnì
aller,q aux.,kə̀
aller,v.,kə̀
alliance,n.,ɛ̀-tǐŋ
alliance,n.,ì-làd
allonger,v.,sám
allonger (s’_ ),v.,sámlán
allumé (être_),v.,kàblà
allumé (être ),v.,kòòbàn
allumer,v.,bɔ̀gì
allumer,v.,càg
allumer,v.,kàlnà
allumer,v.,kàznà
allumette,n.,ì-ɲə̀m
allumettes,n.,m-ásîz
alluvions,n.,ì-yə́yə́g
aloe vera,n.,zə̀g ǹtáŋní
alors,int.,hɔ́
alouette,n.,kwàwɔ́dɔ̂
Alstonia boonei,n.,à-kùg
amande,n.,m̀-mǎŋ
amant,n.,ì-bwàn
amarante,n.,kùkùmà
amasser,v.,kóznò
ambarella,n.,kàzmáŋâ
amende,n.,àlàmán
amende (sp),n.,ì-bə̀bɔ̀ŋ
amener,v.,kə̀ èè
amer (être_),v.,jòl
amer (très ),n adj.,ì-jə́jôlò
amertume,n.,à-jǒl
ami,n.,mbóy
amibiase,n.,bùnì
amitié,n.,ɛ̀-mbwé
amitié,n.,ŋmg͡bà
améliorer,v.,ɲə̀bə̀
amocher,v.,bə́bə̂
amont,n.,ɛ̀-kwě
amorce,n.,mə̀-sə̀blə̀
amour,n.,ì-dǐŋ
amour (faire ),v.,kúngâ
amour (faire ),v.,bómnì
amour (faire l’ ),v.,pwàd
ample (trop ),n adj.,ɲ̀-còg
ampoule,n.,ì-tə́tóg
américain,n.,àmɛ̀dkán
Amérique,n.,àmɛ̀dkán
amulette,n.,ì-tályɛ̀n
amusant,n adj.,ì-lɔ̀bí
amusement,n.,ì-làŋ
amuser,v.,sə̀blə̀
amuser (s’_ ),v.,càb
amuser (s’_ ),v.,sàmà
amuser (s’_ ),v.,vò
amvout,n.,à-mbǔd
aîné,n adj.,ǹ-tól
ananas,n.,zə̀g
ancêtre,n.,m̀-mònì
andinding,n.,ì-ndə̀ndìŋ
ange,n.,íŋgɛ́lzì
anglais,n.,íꜜŋgrízí
angueuk,n.,à-ŋgə̀g
animal,n.,tíd
animal à sacrifier,n.,ì-cígâ
animal domestique,n.,ì-yə́m
ankylose,n.,kúlkádá
anémie,n.,mə̀-cǐ
anémique,n.,mə̀-cǐ
année,n.,m̀-mú
anneau,n.,ù-kɛ́n
Annickia chloranta,n.,m̀-pǒl
annonce,n.,ndɔ́ŋ
annonce de la mort,n.,ndɔ́ŋ
annoncer,v.,bɛ́nî
annoncer,v.,càm
annoncer,v.,kàd
annoncer,v.,kàd
annoncer,v.,tɔ́ŋ
annoncer,v.,yɛ́dnə̀
annoncer (s’_ ),v.,yɛ́nî
anomalure,n.,ŋgù bàgbà
anomalure,n.,ŋgwì
Anthosema aubryanum,n.,ì-sánî
Antiaris toxicaria,n.,áꜜlɔ́gɔ́
antillais (piment ),n.,ì-lòbò
antilope (sp),n.,à-jə̀g só
antilope (sp),n.,ì-mbùl
antilope (sp),n.,ì-ɲɔ̀g
antilope (sp),n.,mbǐn
antilope (sp),n.,mbɔ̌y
antilope (sp),n.,ŋ̀-kɔ́g
antilope (sp),n.,són
antilope (sp),n.,ù-bál
antilope (sp),n.,ù-jɔ́
antilope (sp),n.,zìb
antipathie,n.,mə̀-cǐ
anus,n.,ì-láŋ
